Country Name,Country Code,Region,Sub-Region,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Armenia,ARM,Asia,Western Asia,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2240.092732,2551.435464,2919.373494,3141.331935,2716.974363,2796.081434,2943.836871,3159.758608,3266.29883,3393.092523,3512.393503,3533.885036,3815.374743,4027.83393,4343.458396,4032.090435,4264.799615,4791.004817,5197.23509,5378.318
Armenia,ARM,Asia,Western Asia,GDP (constant 2015 US$),NY.GDP.MKTP.KD,7048227772,7978593838,9071661194,9697605817,8330243396,8513508751,8913643662,9555426006,9870755064,10226102247,10553337518,10574444193,11367527508,11958638938,12867495498,11941035822,12633615900,14225451503,15406163978,16315127652
Armenia,ARM,Asia,Western Asia,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.528324146,-2.395372897,-7.356601338,-14.22464794,-16.48371164,-13.6219483,-10.44032819,-9.962331642,-7.316246571,-7.767866332,-2.661807056,-0.956577969,-1.26072402,-7.228123024,-7.05686573,-3.997773907,-3.396294187,0.737867281,-2.781794377,-4.632273142
Armenia,ARM,Asia,Western Asia,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,99.1,99.2,99.2,99.3,99.8,99.5,99.5,99.4,99.7,100,99.8,99.7,99.9,100,100,100,100,100,..
Armenia,ARM,Asia,Western Asia,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-15.51334268,-16.73817511,-20.59633312,-26.01086881,-27.93243425,-25.14614534,-24.38919713,-20.83805299,-20.84807788,-18.65810365,-12.23129192,-8.589407738,-10.77028523,-13.68731896,-13.4125514,-9.958833709,-7.857008843,-0.96081734,-0.810471614,0.554006921
Armenia,ARM,Asia,Western Asia,GDP per capita (current US$),NY.GDP.PCAP.CD,1557.484589,2041.652671,2962.702346,3777.668593,2820.592655,3041.344507,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8125.273958,8500.605225
Armenia,ARM,Asia,Western Asia,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,14.56970188,13.8986537,14.42082449,7.602947751,-13.50884214,2.911586968,5.284375308,7.334704541,3.371783587,3.881876701,3.515995473,0.611877151,7.965446065,5.568501179,7.836084387,-7.168664527,5.771427608,12.33833356,8.479020342,3.484216252
Armenia,ARM,Asia,Western Asia,GDP (current US$),NY.GDP.MKTP.CD,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592,25786585950
Aruba,ABW,Americas,Caribbean,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,324813400,401389600,455457100,691873900,686970110,708713690,689775980,768622300,653170670,680351000,815800560,922550890,907111452.5,980247680,982300000,1212578720,1512960280,1543940590,1468151730,..
Aruba,ABW,Americas,Caribbean,Total reserves minus gold (current US$),FI.RES.XGLD.CD,273513400,337819600,372082100,604898900,578220110,568163690,536675980,602222300,532720670,559751000,709800560,807960890,777461452.5,852082680,830000000,1023468720,1330950280,1362705590,1261911730,..
